W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] 
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] *****************************************
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0714 05:21:49.299000 243814 /root/wuyl/pytorch-main/torch/distributed/run.py:874] *****************************************
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package:[verify-fsdp] fsdp package:  /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py/root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py

[verify-fsdp] fully_shard module: [verify-fsdp] fully_shard module:/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py 
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py[verify-fsdp] param_group module:
 [verify-fsdp] param_group module:/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py 
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module:[verify-fsdp] mori sdma module:  /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
/root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
[verify-fsdp] fsdp package: /root/wuyl/pytorch-main/torch/distributed/fsdp/__init__.py
[verify-fsdp] fully_shard module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fully_shard.py
[verify-fsdp] param_group module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_fsdp_param_group.py
[verify-fsdp] mori sdma module: /root/wuyl/pytorch-main/torch/distributed/fsdp/_fully_shard/_mori_sdma_allgather.py
Loading Qwen model config and initializing weights...
Applying FSDP2 layer-by-layer sharding (num_params=6,754,997,760)...
FSDP2 model is ready; starting optimizer setup and benchmark.
steps=110-114 mode=native avg_time_s=0.561753 min_time_s=0.548351 max_time_s=0.595806 tokens_per_s=58331.68 tflops=2364.18 tflops_per_gpu=147.76 loss=10.413103
steps=115-119 mode=native avg_time_s=0.559764 min_time_s=0.546612 max_time_s=0.595598 tokens_per_s=58538.96 tflops=2372.58 tflops_per_gpu=148.29 loss=10.481612
steps=120-124 mode=native avg_time_s=0.550936 min_time_s=0.547096 max_time_s=0.555932 tokens_per_s=59476.91 tflops=2410.60 tflops_per_gpu=150.66 loss=10.422071
steps=125-129 mode=native avg_time_s=0.549495 min_time_s=0.544503 max_time_s=0.558929 tokens_per_s=59632.90 tflops=2416.92 tflops_per_gpu=151.06 loss=10.427930
steps=130-134 mode=native avg_time_s=0.550667 min_time_s=0.543175 max_time_s=0.566230 tokens_per_s=59506.00 tflops=2411.78 tflops_per_gpu=150.74 loss=10.424281
steps=135-139 mode=native avg_time_s=0.560443 min_time_s=0.542366 max_time_s=0.622628 tokens_per_s=58468.04 tflops=2369.71 tflops_per_gpu=148.11 loss=10.426529
steps=140-144 mode=native avg_time_s=0.544812 min_time_s=0.539810 max_time_s=0.557079 tokens_per_s=60145.48 tflops=2437.70 tflops_per_gpu=152.36 loss=10.419746
steps=145-149 mode=native avg_time_s=0.563088 min_time_s=0.546241 max_time_s=0.603654 tokens_per_s=58193.43 tflops=2358.58 tflops_per_gpu=147.41 loss=10.421664
steps=150-154 mode=native avg_time_s=0.548139 min_time_s=0.537950 max_time_s=0.569954 tokens_per_s=59780.43 tflops=2422.90 tflops_per_gpu=151.43 loss=10.439933
steps=155-159 mode=native avg_time_s=0.546638 min_time_s=0.539917 max_time_s=0.555225 tokens_per_s=59944.64 tflops=2429.56 tflops_per_gpu=151.85 loss=10.420465
steps=160-164 mode=native avg_time_s=0.546440 min_time_s=0.537869 max_time_s=0.559631 tokens_per_s=59966.31 tflops=2430.43 tflops_per_gpu=151.90 loss=10.410114
steps=165-169 mode=native avg_time_s=0.549852 min_time_s=0.538566 max_time_s=0.569213 tokens_per_s=59594.17 tflops=2415.35 tflops_per_gpu=150.96 loss=10.413648
steps=170-174 mode=native avg_time_s=0.540692 min_time_s=0.535910 max_time_s=0.546136 tokens_per_s=60603.79 tflops=2456.27 tflops_per_gpu=153.52 loss=10.433753
steps=175-179 mode=native avg_time_s=0.542916 min_time_s=0.538579 max_time_s=0.550679 tokens_per_s=60355.54 tflops=2446.21 tflops_per_gpu=152.89 loss=10.432688
steps=180-184 mode=native avg_time_s=0.545290 min_time_s=0.541725 max_time_s=0.548812 tokens_per_s=60092.78 tflops=2435.56 tflops_per_gpu=152.22 loss=10.437568
steps=185-189 mode=native avg_time_s=0.546327 min_time_s=0.539813 max_time_s=0.557272 tokens_per_s=59978.77 tflops=2430.94 tflops_per_gpu=151.93 loss=10.420120
steps=190-194 mode=native avg_time_s=0.548793 min_time_s=0.540629 max_time_s=0.567135 tokens_per_s=59709.19 tflops=2420.01 tflops_per_gpu=151.25 loss=10.432311
steps=195-199 mode=native avg_time_s=0.546819 min_time_s=0.538470 max_time_s=0.557969 tokens_per_s=59924.73 tflops=2428.75 tflops_per_gpu=151.80 loss=10.418831
steps=200-204 mode=native avg_time_s=0.556454 min_time_s=0.540346 max_time_s=0.609469 tokens_per_s=58887.17 tflops=2386.70 tflops_per_gpu=149.17 loss=10.420202
steps=205-209 mode=native avg_time_s=0.550207 min_time_s=0.543099 max_time_s=0.562187 tokens_per_s=59555.80 tflops=2413.80 tflops_per_gpu=150.86 loss=10.408737
steps=210-214 mode=native avg_time_s=0.548038 min_time_s=0.536759 max_time_s=0.556638 tokens_per_s=59791.44 tflops=2423.35 tflops_per_gpu=151.46 loss=10.421021
steps=215-219 mode=native avg_time_s=0.547996 min_time_s=0.540369 max_time_s=0.559598 tokens_per_s=59796.10 tflops=2423.53 tflops_per_gpu=151.47 loss=10.423870
steps=220-224 mode=native avg_time_s=0.556581 min_time_s=0.539131 max_time_s=0.614325 tokens_per_s=58873.70 tflops=2386.15 tflops_per_gpu=149.13 loss=10.429167
steps=225-229 mode=native avg_time_s=0.548548 min_time_s=0.540418 max_time_s=0.557248 tokens_per_s=59735.85 tflops=2421.09 tflops_per_gpu=151.32 loss=10.419053
steps=230-234 mode=native avg_time_s=0.546289 min_time_s=0.541966 max_time_s=0.554740 tokens_per_s=59982.95 tflops=2431.11 tflops_per_gpu=151.94 loss=10.410357
steps=235-239 mode=native avg_time_s=0.546327 min_time_s=0.541501 max_time_s=0.557194 tokens_per_s=59978.69 tflops=2430.94 tflops_per_gpu=151.93 loss=10.420583
steps=240-244 mode=native avg_time_s=0.547935 min_time_s=0.545444 max_time_s=0.553541 tokens_per_s=59802.73 tflops=2423.80 tflops_per_gpu=151.49 loss=10.402663
steps=245-249 mode=native avg_time_s=0.554543 min_time_s=0.542742 max_time_s=0.574018 tokens_per_s=59090.06 tflops=2394.92 tflops_per_gpu=149.68 loss=10.422660
steps=250-254 mode=native avg_time_s=0.542911 min_time_s=0.539779 max_time_s=0.545495 tokens_per_s=60356.17 tflops=2446.23 tflops_per_gpu=152.89 loss=10.412744
steps=255-259 mode=native avg_time_s=0.550496 min_time_s=0.539772 max_time_s=0.585465 tokens_per_s=59524.49 tflops=2412.53 tflops_per_gpu=150.78 loss=10.427246
steps=260-264 mode=native avg_time_s=0.552381 min_time_s=0.541573 max_time_s=0.579055 tokens_per_s=59321.40 tflops=2404.30 tflops_per_gpu=150.27 loss=10.419181
steps=265-269 mode=native avg_time_s=0.543808 min_time_s=0.539393 max_time_s=0.548932 tokens_per_s=60256.57 tflops=2442.20 tflops_per_gpu=152.64 loss=10.400177
steps=270-274 mode=native avg_time_s=0.553897 min_time_s=0.545017 max_time_s=0.564774 tokens_per_s=59159.01 tflops=2397.71 tflops_per_gpu=149.86 loss=10.407160
steps=275-279 mode=native avg_time_s=0.546508 min_time_s=0.537111 max_time_s=0.554760 tokens_per_s=59958.89 tflops=2430.13 tflops_per_gpu=151.88 loss=10.407074
steps=280-284 mode=native avg_time_s=0.542389 min_time_s=0.536933 max_time_s=0.549716 tokens_per_s=60414.26 tflops=2448.59 tflops_per_gpu=153.04 loss=10.403529
steps=285-289 mode=native avg_time_s=0.539565 min_time_s=0.536385 max_time_s=0.542133 tokens_per_s=60730.37 tflops=2461.40 tflops_per_gpu=153.84 loss=10.402180
steps=290-294 mode=native avg_time_s=0.543545 min_time_s=0.540073 max_time_s=0.553226 tokens_per_s=60285.69 tflops=2443.38 tflops_per_gpu=152.71 loss=10.405663
steps=295-299 mode=native avg_time_s=0.545058 min_time_s=0.536272 max_time_s=0.554240 tokens_per_s=60118.36 tflops=2436.60 tflops_per_gpu=152.29 loss=10.409185
steps=300-304 mode=native avg_time_s=0.542382 min_time_s=0.535479 max_time_s=0.545983 tokens_per_s=60415.00 tflops=2448.62 tflops_per_gpu=153.04 loss=10.407920
steps=305-309 mode=native avg_time_s=0.542346 min_time_s=0.540709 max_time_s=0.545444 tokens_per_s=60419.03 tflops=2448.78 tflops_per_gpu=153.05 loss=10.403787
steps=310-314 mode=native avg_time_s=0.544663 min_time_s=0.536482 max_time_s=0.553575 tokens_per_s=60161.98 tflops=2438.36 tflops_per_gpu=152.40 loss=10.407670
steps=315-319 mode=native avg_time_s=0.549861 min_time_s=0.543416 max_time_s=0.558891 tokens_per_s=59593.24 tflops=2415.31 tflops_per_gpu=150.96 loss=10.421396
steps=320-324 mode=native avg_time_s=0.545483 min_time_s=0.536947 max_time_s=0.555581 tokens_per_s=60071.55 tflops=2434.70 tflops_per_gpu=152.17 loss=10.404923
steps=325-329 mode=native avg_time_s=0.541179 min_time_s=0.538857 max_time_s=0.543283 tokens_per_s=60549.28 tflops=2454.06 tflops_per_gpu=153.38 loss=10.408156
steps=330-334 mode=native avg_time_s=0.566345 min_time_s=0.542738 max_time_s=0.646711 tokens_per_s=57858.74 tflops=2345.01 tflops_per_gpu=146.56 loss=10.407206
steps=335-339 mode=native avg_time_s=0.546836 min_time_s=0.538563 max_time_s=0.560735 tokens_per_s=59922.94 tflops=2428.68 tflops_per_gpu=151.79 loss=10.406149
steps=340-344 mode=native avg_time_s=0.544116 min_time_s=0.537656 max_time_s=0.552357 tokens_per_s=60222.50 tflops=2440.82 tflops_per_gpu=152.55 loss=10.412189
steps=345-349 mode=native avg_time_s=0.553402 min_time_s=0.539976 max_time_s=0.575357 tokens_per_s=59211.93 tflops=2399.86 tflops_per_gpu=149.99 loss=10.410246
steps=350-354 mode=native avg_time_s=0.546066 min_time_s=0.544249 max_time_s=0.547687 tokens_per_s=60007.40 tflops=2432.10 tflops_per_gpu=152.01 loss=10.393711
steps=355-359 mode=native avg_time_s=0.545463 min_time_s=0.542382 max_time_s=0.548125 tokens_per_s=60073.69 tflops=2434.79 tflops_per_gpu=152.17 loss=10.399898
steps=360-364 mode=native avg_time_s=0.540970 min_time_s=0.540131 max_time_s=0.542468 tokens_per_s=60572.67 tflops=2455.01 tflops_per_gpu=153.44 loss=10.419623
steps=365-369 mode=native avg_time_s=0.545940 min_time_s=0.539309 max_time_s=0.555723 tokens_per_s=60021.22 tflops=2432.66 tflops_per_gpu=152.04 loss=10.403628
steps=370-374 mode=native avg_time_s=0.546025 min_time_s=0.540127 max_time_s=0.551479 tokens_per_s=60011.88 tflops=2432.28 tflops_per_gpu=152.02 loss=10.414120
steps=375-379 mode=native avg_time_s=0.545676 min_time_s=0.542830 max_time_s=0.551487 tokens_per_s=60050.32 tflops=2433.84 tflops_per_gpu=152.11 loss=10.405832
steps=380-384 mode=native avg_time_s=0.547944 min_time_s=0.542344 max_time_s=0.558512 tokens_per_s=59801.71 tflops=2423.76 tflops_per_gpu=151.49 loss=10.414313
steps=385-389 mode=native avg_time_s=0.542851 min_time_s=0.536459 max_time_s=0.546898 tokens_per_s=60362.74 tflops=2446.50 tflops_per_gpu=152.91 loss=10.406941
steps=390-394 mode=native avg_time_s=0.543143 min_time_s=0.540295 max_time_s=0.546996 tokens_per_s=60330.32 tflops=2445.19 tflops_per_gpu=152.82 loss=10.404054
steps=395-399 mode=native avg_time_s=0.549476 min_time_s=0.540163 max_time_s=0.568843 tokens_per_s=59635.04 tflops=2417.01 tflops_per_gpu=151.06 loss=10.409748
steps=400-404 mode=native avg_time_s=0.544458 min_time_s=0.538676 max_time_s=0.553457 tokens_per_s=60184.61 tflops=2439.28 tflops_per_gpu=152.46 loss=10.410124
steps=405-409 mode=native avg_time_s=0.541876 min_time_s=0.537603 max_time_s=0.545731 tokens_per_s=60471.40 tflops=2450.90 tflops_per_gpu=153.18 loss=10.414395
steps=410-414 mode=native avg_time_s=0.544493 min_time_s=0.539048 max_time_s=0.552511 tokens_per_s=60180.78 tflops=2439.13 tflops_per_gpu=152.45 loss=10.398815
steps=415-419 mode=native avg_time_s=0.549302 min_time_s=0.541399 max_time_s=0.558684 tokens_per_s=59653.84 tflops=2417.77 tflops_per_gpu=151.11 loss=10.401887
steps=420-424 mode=native avg_time_s=0.544008 min_time_s=0.539397 max_time_s=0.552987 tokens_per_s=60234.43 tflops=2441.30 tflops_per_gpu=152.58 loss=10.402514
steps=425-429 mode=native avg_time_s=0.546466 min_time_s=0.535352 max_time_s=0.559364 tokens_per_s=59963.46 tflops=2430.32 tflops_per_gpu=151.89 loss=10.406146
steps=430-434 mode=native avg_time_s=0.541801 min_time_s=0.538320 max_time_s=0.545608 tokens_per_s=60479.77 tflops=2451.24 tflops_per_gpu=153.20 loss=10.403705
steps=435-439 mode=native avg_time_s=0.543684 min_time_s=0.539979 max_time_s=0.547900 tokens_per_s=60270.30 tflops=2442.75 tflops_per_gpu=152.67 loss=10.401010
steps=440-444 mode=native avg_time_s=0.542702 min_time_s=0.538034 max_time_s=0.547043 tokens_per_s=60379.35 tflops=2447.17 tflops_per_gpu=152.95 loss=10.409615
steps=445-449 mode=native avg_time_s=0.543067 min_time_s=0.537400 max_time_s=0.548785 tokens_per_s=60338.80 tflops=2445.53 tflops_per_gpu=152.85 loss=10.405535
steps=450-454 mode=native avg_time_s=0.541710 min_time_s=0.535957 max_time_s=0.547487 tokens_per_s=60489.95 tflops=2451.66 tflops_per_gpu=153.23 loss=10.403210
steps=455-459 mode=native avg_time_s=0.550648 min_time_s=0.538226 max_time_s=0.573481 tokens_per_s=59508.05 tflops=2411.86 tflops_per_gpu=150.74 loss=10.398576
steps=460-464 mode=native avg_time_s=0.550867 min_time_s=0.541797 max_time_s=0.565552 tokens_per_s=59484.44 tflops=2410.90 tflops_per_gpu=150.68 loss=10.403821
steps=465-469 mode=native avg_time_s=0.546139 min_time_s=0.539205 max_time_s=0.554670 tokens_per_s=59999.36 tflops=2431.77 tflops_per_gpu=151.99 loss=10.401361
steps=470-474 mode=native avg_time_s=0.545841 min_time_s=0.538560 max_time_s=0.551507 tokens_per_s=60032.09 tflops=2433.10 tflops_per_gpu=152.07 loss=10.401814
steps=475-479 mode=native avg_time_s=0.545534 min_time_s=0.538022 max_time_s=0.555024 tokens_per_s=60065.88 tflops=2434.47 tflops_per_gpu=152.15 loss=10.403730
steps=480-484 mode=native avg_time_s=0.544977 min_time_s=0.540499 max_time_s=0.549057 tokens_per_s=60127.30 tflops=2436.96 tflops_per_gpu=152.31 loss=10.401686
steps=485-489 mode=native avg_time_s=0.545969 min_time_s=0.541292 max_time_s=0.550108 tokens_per_s=60018.11 tflops=2432.53 tflops_per_gpu=152.03 loss=10.410881
steps=490-494 mode=native avg_time_s=0.547385 min_time_s=0.542880 max_time_s=0.560756 tokens_per_s=59862.75 tflops=2426.24 tflops_per_gpu=151.64 loss=10.408257
steps=495-499 mode=native avg_time_s=0.549586 min_time_s=0.541617 max_time_s=0.556426 tokens_per_s=59623.03 tflops=2416.52 tflops_per_gpu=151.03 loss=10.408024
{
  "avg_step_time_s": 0.5580746558693354,
  "avg_tflops": 2379.765118574084,
  "avg_tflops_per_gpu": 148.73531991088026,
  "avg_tokens_per_s": 58716.15859164213,
  "dtype": "bf16",
  "last_loss": 10.408023834228516,
  "micro_batch_size": 1,
  "mode": "native",
  "mori_enable_sdma": null,
  "mori_fsdp_enable_sdma": null,
  "mori_fsdp_zero_copy_output": null,
  "num_params": 6754997760,
  "seed": 1234,
  "seq_len": 2048,
  "steps": 500,
  "warmup": 6,
  "world_size": 16
}
/root/wuyl/pytorch-main/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
